序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,y
1,688001,华兴源创,2019/7/31,20190722,80.03,24.26,2019/7/22,2.8,-0.3,-1.32%,128.77,-0.12,0.06,54.72
2,688002,睿创微纳,2019/7/31,20190722,80.48,20,2019/7/22,2.8,-0.3,3.92%,151,-0.13,0.06,49.93
3,688003,天准科技,2019/7/31,20190722,74.03,25.5,2019/7/22,2.8,-0.3,-0.62%,85.88,-0.15,0.08,48.44
4,688004,博汇科技,2020/6/30,20200612,72.07,28.77,2020/6/12,2.5,-3,9.53%,340.74,0.03,-0.11,129.66
5,688005,容百科技,2019/7/31,20190722,79.44,26.62,2019/7/22,2.8,-0.3,-2.28%,86.06,-0.16,0.06,49.26
6,688006,杭可科技,2019/7/31,20190722,79.48,27.43,2019/7/22,2.8,-0.3,-2.28%,99.13,-0.14,0.07,53.99
7,688007,光峰科技,2019/7/31,20190722,78.86,17.5,2019/7/22,2.8,-0.3,5.20%,121.94,-0.11,0.16,41.87
8,688008,澜起科技,2019/7/31,20190722,78.42,24.8,2019/7/22,2.8,-0.3,5.75%,202.1,-0.01,0.02,77.01
9,688009,中国通号,2019/7/31,20190722,77.98,5.85,2019/7/22,2.8,-0.3,-1.92%,109.74,-0.06,0.03,9.54
10,688010,福光股份,2019/7/31,20190722,74.4,25.22,2019/7/22,2.8,-0.3,3.66%,92.98,0.12,0.49,80.45
11,688011,新光光电,2019/7/31,20190722,76.41,38.09,2019/7/22,2.8,-0.3,3.92%,84.22,-0.14,0.09,69.72
12,688012,中微公司,2019/7/31,20190722,75.41,29.01,2019/7/22,2.8,-0.3,5.75%,179.32,0.03,0.02,87.11
13,688013,天臣医疗,2020/9/30,20200928,83.28,18.62,2020/9/28,1.7,-2.1,-5.81%,118.64,-0.11,-0.06,40.02
14,688015,交控科技,2019/7/31,20190722,75.93,16.18,2019/7/22,2.8,-0.3,-1.92%,134.24,0.08,0.02,51.65
15,688016,心脉医疗,2019/7/31,20190722,84.51,46.23,2019/7/22,2.8,-0.3,0.11%,242.42,-0.07,0.05,156.58
16,688017,绿的谐波,2020/8/31,20200828,69.35,35.06,2020/8/28,2.4,-2,5.15%,68.08,-0.07,0.1,55.19
17,688018,乐鑫科技,2019/7/31,20190722,76.65,62.6,2019/7/22,2.8,-0.3,5.75%,106.25,0.14,0.1,158.14
18,688019,安集科技,2019/7/31,20190722,86.19,39.19,2019/7/22,2.8,-0.3,12.03%,400.15,-0.09,0.02,142.9
20,688021,奥福环保,2019/11/30,20191106,75.24,26.17,2019/11/6,4.5,-1.4,0.14%,26.9,0.19,-0.13,38.7
21,688022,瀚川智能,2019/7/31,20190722,72.39,25.79,2019/7/22,2.8,-0.3,-1.32%,94.61,0.09,-0.06,66.24
22,688023,安恒信息,2019/11/30,20191105,81.73,56.5,2019/11/5,4.5,-1.4,-3.40%,39.93,0.12,0.29,120.14
23,688025,杰普特,2019/10/31,20191031,68.85,43.86,2019/10/31,3.8,-1.6,-4.41%,33.74,-0.16,0,57.77
24,688026,洁特生物,2020/1/31,20200122,70.4,16.49,2020/1/22,5.4,0.1,10.20%,223.59,0.1,1.09,40.97
25,688027,国盾量子,2020/7/31,20200709,81.56,36.18,2020/7/9,2.7,-2.4,6.01%,923.91,-0.09,0.03,434.74
26,688028,沃尔德,2019/7/31,20190722,75.49,26.68,2019/7/22,2.8,-0.3,-0.52%,109.9,0.05,0,88.21
27,688029,南微医学,2019/7/31,20190722,65.68,52.45,2019/7/22,2.8,-0.3,0.11%,110.7,0.12,0.04,91.85
28,688030,山石网科,2019/9/30,20190930,64.4,21.06,2019/9/30,3,-1.2,5.06%,112.73,0.09,-0.1,44.31
29,688031,星环科技,2022/10/31,20221018,73,47.34,2022/10/18,2.1,-1.3,21.46%,60.54,-0.04,-0.07,76
30,688032,禾迈股份,2021/12/31,20211220,69.38,557.8,2021/12/20,1.5,10.3,-6.03%,29.98,-0.02,0.05,530.51
31,688033,天宜上佳,2019/7/31,20190722,77.7,20.37,2019/7/22,2.8,-0.3,-1.92%,96.76,0.12,-0.07,46.07
32,688035,德邦科技,2022/9/30,20220919,79.4,46.12,2022/9/19,2.8,0.9,-7.45%,64.46,0.05,-0.16,79.69
33,688036,传音控股,2019/9/30,20190930,67.95,35.15,2019/9/30,3,-1.2,5.30%,64.44,-0.13,-0.04,55.89
